RuleSet	Average Value,	Connectedness	Chaos
487	62.08	-3.807000000000000	0.0
488	63.2	-2.1610000000000000	0.0
489	59.61	-5.646000000000000	0.0
490	59.827	-5.394000000000000	0.0
491	59.091	-5.545000000000000	0.09
492	74.464	3.3589999999999900	0.0
493	65.67	-1.5840000000000000	1.043
494	73.658	3.5900000000000000	0.0
495	54.054	-9.163000000000000	0.051
496	54.221	-9.181000000000000	0.051
497	53.76	-9.278000000000000	0.026
498	54.426	-9.319000000000000	0.102
499	54.355	-9.087000000000000	0.102
500	54.029	-9.448	0.077
501	51.469	-9.082	0.653
502	51.488	-9.373000000000000	0.659
503	51.872	-8.68	0.915
504	86.413	0.5930000000000040	0.0
505	75.418	-3.2660000000000100	0.205
506	92.448	2.118000000000010	0.0
507	66.778	-5.315000000000010	5.613
508	64.864	-5.240000000000000	6.067
509	66.208	-0.1979999999999930	18.144
510	95.219	1.4300000000000100	0.0
511	73.926	-0.8780000000000000	6.195
512	97.434	1.4120000000000100	0.0
513	49.062	-14.479	0.218
514	49.325	-14.420000000000000	0.192
515	49.088	-14.636000000000000	0.115
516	49.082	-14.469000000000000	0.192
517	49.235	-14.593000000000000	0.23
518	49.114	-14.815000000000000	0.205
519	48.685	-12.447000000000000	2.202
520	48.544	-12.181000000000000	2.451
521	49.03	-12.468000000000000	1.766
522	49.069	-15.459000000000000	0.288
523	49.261	-15.370000000000000	0.352
524	49.011	-15.482	0.346
525	49.107	-15.642000000000000	0.307
526	48.864	-15.683	0.499
527	49.101	-15.620000000000000	0.23
528	48.186	-14.148000000000000	2.822
529	48.755	-14.240000000000000	3.309
530	48.851	-13.961000000000000	3.405
531	55.789	-0.2150000000000030	26.758
532	55.194	-1.2120000000000000	27.501
533	56.486	0.4300000000000000	27.194
534	53.363	-1.706000000000000	28.768
535	53.248	-1.468999999999990	28.058
536	53.101	-1.368000000000000	29.408
537	74.298	5.580000000000000	19.142
538	58.074	0.45600000000000300	31.712
539	88.416	4.153000000000010	9.21
540	79.296	-1.038000000000010	0.0
541	74.586	-3.5060000000000000	0.192
542	85.35	1.3720000000000000	0.0
543	66.963	-7.423000000000000	0.262
544	66.95	-7.367000000000000	0.358
545	63.027	-9.044000000000000	0.582
546	92.512	0.902000000000001	0.0
547	77.363	-2.3670000000000000	4.64
548	97.152	1.2880000000000000	0.0
549	60.09	-7.4310000000000000	14.778
550	58.47	-8.618000000000000	13.331
551	60.486	-5.073	20.442
552	57.018	-5.416000000000000	20.768
553	56.576	-4.660000000000000	20.602
554	57.376	-3.9240000000000000	23.661
555	64.858	0.42600000000000200	33.421
556	63.296	0.5739999999999980	34.061
557	66.31	0.14399999999999100	35.565
558	90.566	0.45300000000000300	0.0
559	77.222	-3.4199999999999900	2.387
560	96.262	1.2650000000000000	0.0
561	69.613	0.0799999999999983	26.426
562	64.832	2.3800000000000100	28.934
563	71.61	1.8870000000000000	34.861
564	96.403	0.9199999999999880	0.0
565	78.208	-1.039999999999990	14.611
566	98.394	0.9619999999999890	0.0
567	46.643	-10.282000000000000	13.363
568	46.285	-9.848000000000000	14.182
569	47.027	-8.746000000000000	14.867
570	45.978	-12.779000000000000	11.667
571	45.421	-13.164000000000000	11.053
572	46.438	-11.575000000000000	12.806
573	51.501	0.8690000000000000	19.571
574	47.834	-2.0520000000000100	21.606
575	52.71	1.5970000000000000	18.886
576	45.299	-12.702000000000000	11.949
577	45.184	-12.507000000000000	12.896
578	44.531	-11.794000000000000	13.549
579	44.877	-11.974000000000000	13.645
580	44.858	-12.079000000000000	13.619
581	44.89	-11.958000000000000	13.664
582	44.736	-4.706000000000000	23.744
583	45.21	-5.487000000000000	23.04
584	45.37	-5.458000000000000	22.963
585	90.362	2.1990000000000100	0.89
586	59.52	2.901999999999990	24.16
587	94.432	2.3660000000000000	0.339
588	51.277	1.0090000000000000	31.2
589	51.187	-0.09899999999999670	31.36
590	50.899	0.2669999999999960	31.501
591	95.712	1.9790000000000000	0.038
592	63.328	3.726000000000000	28.275
593	96.858	1.8770000000000000	0.013
594	40.55	-1.3360000000000000	24.57
595	40.582	-2.2950000000000000	25.043
596	40.365	-2.625	24.422
597	40.128	-1.8230000000000000	24.794
598	39.533	-1.483000000000000	24.973
599	39.84	-1.6710000000000100	25.651
600	40.819	-0.5420000000000020	27.699
601	40.998	-0.6059999999999950	28.627
602	40.73	-0.42499999999999700	27.661
603	35.942	2.7550000000000000	28.691
604	36.269	2.9010000000000000	27.341
605	36.346	2.7830000000000000	28.442
606	34.675	3.7620000000000000	27.13
607	34.221	4.018000000000000	27.571
608	34.675	4.232000000000000	25.984
609	36.717	2.642000000000000	29.594
610	37.44	3.1030000000000000	29.856
611	38.547	2.1950000000000000	28.941
612	42.733	1.3290000000000000	35.149
613	42.342	1.4550000000000000	35.2
614	42.771	2.007000000000000	35.264
615	41.184	1.5080000000000000	36.589
616	41.606	1.5950000000000000	36.07
617	42.266	1.6070000000000000	35.354
618	43.302	1.6880000000000000	37.555
619	43.309	1.2360000000000000	36.966
620	44.672	1.2700000000000000	38.195
621	84.032	0.4579999999999980	0.986
622	66.035	1.0190000000000100	20.781
623	89.677	1.9569999999999900	0.627
624	55.968	-0.06900000000000260	35.75
625	55.283	0.134999999999998	36.301
626	55.802	0.3930000000000010	35.52
627	93.478	1.2720000000000100	0.134
628	69.926	2.1260000000000000	25.786
629	96.326	1.63600000000001	0.115
630	50.995	1.091000000000000	40.141
631	51.597	1.3160000000000000	40.454
632	50.445	1.0330000000000000	41.158
633	48.282	2.318000000000010	40.998
